smiles,compound_set,template,hit1,hit2
CC[C@H](N)Nc1cccc([C@@H](CS)C(=O)N[C@@H]2CCC(=O)NC2)c1,cx1338a-cx0300a,cx0300a,cx1338a,cx0300a
C/C=N/[C@]1(N)C[C@H](NC(N)=O)CCc2ccc(Cl)cc21,cx1371a-cx0544a,cx0300a,cx0544a,cx1371a
NC(=O)c1ccc2c(c1)COC2,cx1371a-cx0404a,cx0300a,cx1371a,cx0404a
Clc1ccc2c3c(nccc13)N=C2,cx1371a-cx1402a,cx0300a,cx1371a,cx1402a
NC(=O)c1ccc(C(=O)N[C@@H]2CCC(=O)NC2)c(Cl)c1,cx1371a-cx0300a,cx0300a,cx1371a,cx0300a
N[C@H]1NCCNC2=C1CCC2,cx1371a-cx1406a,cx0300a,cx1371a,cx1406a
NC(=O)c1cccc(Cl)c1O,cx1371a-cx1445a,cx0300a,cx1371a,cx1445a
CNc1c(C#N)ccc(Cn2cnc3ccccc32)c1O,cx0620a-cx0398a,cx0300a,cx0620a,cx0398a
CCOc1ncccc1C(=O)N(C)CC1=C(CCO)C(=O)N=N1,cx0522a-cx0317a,cx0300a,cx0522a,cx0317a
CCOc1c(C)cccc1C(=O)[N+](C)(C)[O-],cx0522a-cx0305a,cx0300a,cx0522a,cx0305a
CCOc1ncccc1C(=O)N(C)Cc1ccc(O)nc1,cx0522a-cx1118a,cx0300a,cx0522a,cx1118a
CCOc1ncccc1C(=O)N(C)[C@H]1CCC(=O)NN1,cx0522a-cx1135a,cx0300a,cx0522a,cx1135a
C[C@]1(F)CN(CCN)C[C@H](CCCNN)C1=O,cx0522a-cx0294a,cx0300a,cx0522a,cx0294a
CCOc1ncccc1C(=O)N1/C=C(/c2cscn2)N[C@H]2CNC(=O)C[C@@H]2OC1,cx0522a-cx0300a,cx0300a,cx0522a,cx0300a
CCOc1ncccc1C(=O)N(C)CN(C)C(=O)CNC(=O)c1scnc1C,cx0522a-cx0721a,cx0300a,cx0522a,cx0721a
CN(C)C(=O)c1cccc2c(CO)nc3ccccc3c12,cx0522a-cx1183a,cx0300a,cx0522a,cx1183a
CN(c1ccncc1)[C@H]1CCN(c2ccccc2F)C1=O,cx0398a-cx0824a,cx0300a,cx0398a,cx0824a
O=C1C[C@@]2(CCN(c3ccccc3F)C2=O)[C@H](CC(=O)c2cscn2)CN1,cx0398a-cx0300a,cx0300a,cx0398a,cx0300a
Cc1ccncc1NC(=O)Cn1[nH]c(=O)c(CCO)c1C,cx0317a-cx0305a,cx0300a,cx0317a,cx0305a
Cc1c(CCO)c(=O)[nH]n1C(=O)c1ccco1,cx0317a-cx0543a,cx0300a,cx0317a,cx0543a
CC1=C([C@@H](CO)c2ccc3nc(N)sc3c2)C(=O)N=N1,cx0317a-cx1410a,cx0300a,cx0317a,cx1410a
Cc1c(CCO)c(=O)[nH]n1NC1CC=CC1,cx0317a-cx0441a,cx0300a,cx0317a,cx0441a
NC1=S(CO)c2ccccc2N1,cx1271a-cx0969a,cx0300a,cx1271a,cx0969a
