smiles,hit1_short,hit2_short,inchi_key,compound_set,error_type
COCC(=O)N[C@@H]1CCCC[C@]12CNC[C@@H]2C(=O)OC,cx0692a,cx1278a,DZZBIAOVYFHMIS-JTNHKYCSSA-N,cx0692a-cx1278a,NoSynthesisRoute
O[C@@H]1Oc2cc(-c3ccn[nH]3)ccc2N1Nc1ccccc1,cx0692a,cx0864d,PPOABDMMRXXBHZ-MRXNPFEDSA-N,cx0692a-cx0864d,NoSynthesisRoute
Cc1nsc(N[C@@H]2C[C@@]3(CNCC[C@@H]3CCNC(=O)c3ccccc3F)C[C@H]2CO)n1,cx0824a,cx0406a,FAIKVXHYCBBUTG-XKIVJUNCSA-N,cx0824a-cx0406a,NoSynthesisRoute
CN[C@H](c1cnn(-c2ccccc2)c1)c1cccc(O)n1,cx0632a,cx1118a,VSMLKTUVJLIHFO-MRXNPFEDSA-N,cx0632a-cx1118a,NoSynthesisRoute
COC(O)(O)c1c[nH]c2ccccc12,cx1278a,cx0969a,DLSKEJKONXTOHV-UHFFFAOYSA-N,cx1278a-cx0969a,NoSynthesisRoute
O=S1(=O)CCc2nc(-c3nccs3)nn2C1,cx1182a,cx0281a,KEEJZOXJZSAFNX-UHFFFAOYSA-N,CHIKVMac-DLS-JA006,NoSynthesisRoute
COCC(=O)NC[C@H]1CCCC2=C1NCS2,cx0692a,cx0721a,VMDOHGKJUXIANC-MRVPVSSYSA-N,cx0721a-cx0692a,NoSynthesisRoute
CC1=NC(=O)C(C(C)C)=C1N(C)N(C)C,cx1298a,cx1194a,OTXHULFVAUIJDZ-UHFFFAOYSA-N,cx1194a-cx1298a,NoSynthesisRoute
Nc1nc(S(N)(=O)=O)n2c1cnn2CCO,cx0477a,cx1268a,QEYCHRIJAKTHEP-UHFFFAOYSA-N,cx1268a-cx0477a,NoSynthesisRoute
O=C(Nc1ccc(O)cc1)c1ccc2ccnc-2n1O,cx0935a,cx1402f,HMSVYRBFIWFWJE-UHFFFAOYSA-N,cx0935a-cx1402f,NoSynthesisRoute
CN[C@H](c1cnn(-c2ccccc2)c1)[C@H]1CCC(=O)NN1,cx0632a,cx1135a,KWJZRRUYKMBOSC-UKRRQHHQSA-N,cx1135a-cx0632a,NoSynthesisRoute
CCOc1c(O)ccc2nn(N)c(C)c12,cx1410a,cx1417a,CYHOPNZSVSYBQM-UHFFFAOYSA-N,cx1417a-cx1410a,NoSynthesisRoute
N[C@@H]1COc2ccc(CO)cc21,cx1440f,cx0969d,LNAVTMNVGRFOOR-MRVPVSSYSA-N,cx0969d-cx1440f,NoSynthesisRoute
C[C@H]1CN[C@H]2[C@H]1[C@@H]1NCCN1[C@@H]1C[C@H](NC(N)=O)CCN12,cx0544a,cx1298a,QXCIGUDLGJJURP-ZRFFIENRSA-N,cx1298a-cx0544a,NoSynthesisRoute
CC1=C([C@@H](CO)OCc2c[nH]c3nccc-3c2)C(=O)N=N1,cx0317a,cx1402a,ZJILPZZKKJHMJM-LLVKDONJSA-N,cx0317a-cx1402a,NoSynthesisRoute
C[C@H]1C=C(Cc2cccs2)N(O)[C@@H]2[C@@H]1CNN2C,cx1194a,cx0892a,CKWFMDJYZBBFKD-ZWKOPEQDSA-N,cx0892a-cx1194a,NoSynthesisRoute
